Jenis_Rumah,Lokasi,KT,KM,Garasi,LT,LB,KPR_bulanan,Harga_New
Rumah,"Tembalang, Semarang",2,1,1,60,30,1.0,0.3
Rumah,"Semarang Timur, Semarang",2,1,1,65,30,1.0,0.3
Rumah,"Gunung Pati, Semarang",2,1,1,120,32,1.0,0.3
Rumah,"Genuk, Semarang",2,1,1,60,36,1.0,0.3
Rumah,"Tembalang, Semarang",2,1,1,72,36,1.0,0.3
Rumah,"Pedurungan, Semarang",2,1,1,84,36,1.0,0.3
Rumah,"Mijen, Semarang",2,1,1,120,36,1.0,0.3
Rumah,"Gunung Pati, Semarang",2,1,1,120,36,1.0,0.3
Rumah,"Semarang Barat, Semarang",2,1,1,126,36,1.0,0.3
Rumah,"Banyumanik, Semarang",2,1,1,91,38,1.0,0.3
Rumah,"Tembalang, Semarang",2,1,1,60,40,1.0,0.3
Rumah,"Tembalang, Semarang",2,1,1,72,45,1.0,0.3
Rumah,"Gunung Pati, Semarang",2,1,2,122,45,1.0,0.3
Rumah,"Gunung Pati, Semarang",2,1,1,122,45,1.0,0.3
Rumah,"Semarang Tengah, Semarang",2,2,1,55,60,1.0,0.3
Rumah,"Genuk, Semarang",2,1,1,72,60,1.0,0.3
Rumah,"Genuk, Semarang",2,2,1,72,60,1.0,0.3
Rumah,"Mijen, Semarang",2,1,1,120,60,1.0,0.3
Rumah,"Semarang Timur, Semarang",2,1,1,66,66,1.0,0.3
Rumah,"Tembalang, Semarang",2,1,1,65,70,1.0,0.3
Rumah,"Genuk, Semarang",2,1,1,72,72,1.0,0.3
Rumah,"Ngaliyan, Semarang",2,1,1,72,72,1.0,0.3
Rumah,"Mijen, Semarang",2,1,1,72,72,1.0,0.3
Rumah,"Genuk, Semarang",2,1,1,98,72,1.0,0.3
Rumah,"Mijen, Semarang",3,1,1,121,72,1.0,0.3
Rumah,"Gunung Pati, Semarang",3,1,1,74,74,1.0,0.3
Rumah,"Mijen, Semarang",2,2,1,96,80,1.0,0.3
Rumah,"Pedurungan, Semarang",2,1,1,82,82,1.0,0.3
Rumah,"Tugu, Semarang",4,2,1,88,88,1.0,0.3
Rumah,"Ngaliyan, Semarang",2,1,1,89,89,1.0,0.3
Rumah,"Pedurungan, Semarang",3,2,1,60,100,1.0,0.3
Rumah,"Gayamsari, Semarang",4,1,1,110,110,1.0,0.3
Rumah,"Ngaliyan, Semarang",3,1,1,112,112,1.0,0.3
Rumah,"Gunung Pati, Semarang",2,1,1,32,120,1.0,0.3
Rumah,"Tembalang, Semarang",2,1,1,72,36,1.0,0.31
Rumah,"Semarang Timur, Semarang",2,1,1,73,45,1.0,0.31
Rumah,"Genuk, Semarang",2,1,1,76,76,1.0,0.31
Rumah,"Pedurungan, Semarang",2,1,1,66,36,1.0,0.315
Rumah,"Pedurungan, Semarang",2,1,1,66,39,1.0,0.315
Rumah,"Pedurungan, Semarang",2,1,1,70,45,1.0,0.315
Rumah,"Gunung Pati, Semarang",2,1,1,72,30,1.0,0.32
Rumah,"Semarang Barat, Semarang",2,1,1,72,30,1.0,0.32
Rumah,"Gunung Pati, Semarang",2,1,1,120,36,1.0,0.32
Rumah,"Semarang Timur, Semarang",3,2,1,60,44,1.0,0.32
Rumah,"Banyumanik, Semarang",2,1,1,67,50,1.0,0.32
Rumah,"Semarang Barat, Semarang",2,1,1,65,65,1.0,0.32
Rumah,"Pedurungan, Semarang",2,1,1,84,84,1.0,0.32
Rumah,"Semarang Tengah, Semarang",3,1,1,100,90,1.0,0.32
Rumah,"Mijen, Semarang",2,1,1,60,106,1.0,0.32
Rumah,"Mijen, Semarang",2,1,1,60,108,1.0,0.32
Rumah,"Gunung Pati, Semarang",2,1,1,120,32,1.0,0.325
Rumah,"Gajah Mungkur, Semarang",2,1,1,120,32,1.0,0.325
Rumah,"Pedurungan, Semarang",2,1,1,60,36,1.0,0.325
Rumah,"Semarang Timur, Semarang",2,1,1,60,36,1.0,0.325
Rumah,"Semarang Timur, Semarang",2,1,1,66,36,1.0,0.325
Rumah,"Genuk, Semarang",2,1,1,70,36,1.0,0.325
Rumah,"Mijen, Semarang",2,1,1,120,36,1.0,0.325
Rumah,"Pedurungan, Semarang",2,1,1,69,40,1.0,0.325
